Company: Company Name,Company: Company Name (Fake),Company: Industry,Company: Company Number,Company: Stock Name,Company: Stock Symbol,Company: Stock Sector,Company: IBAN
Tagchat,Kassulke and Sons,Homebuilding,94-045-4571,"M.D.C. Holdings, Inc.",MDC,Capital Goods,AL34 6315 8966 UWZ6 KGYZ 9IPD GHHI
Zooveo,Wilderman-Marvin,Electric Utilities: Central,58-035-9653,Portland General Electric Company,POR,Public Utilities,HR85 2396 6256 0641 2947 9
Zazio,Ortiz and Sons,Major Banks,27-149-5065,"PrivateBancorp, Inc.",PVTB,Finance,KZ27 874L TRBB 0WPO 0ZQJ
Kanoodle,"Sporer, Fisher and Kuhn",Consumer Electronics/Appliances,89-525-7197,Sony Corp Ord,SNE,Consumer Non-Durables,FR40 2320 3815 84LD CAV0 YGT9 T99
Wikivu,Mohr Group,Major Pharmaceuticals,21-777-8905,Phibro Animal Health Corporation,PAHC,Health Care,AE32 7717 3712 1421 0344 253
Youspan,Brakus-McCullough,n/a,71-067-0531,Apollo Tactical Income Fund Inc.,AIF,n/a,IE96 IKUK 5764 2812 8166 51
Jazzy,"Bogisich, Torp and Luettgen",EDP Services,00-971-0636,"CSG Systems International, Inc.",CSGS,Technology,AL91 3943 6869 ZEIN W3EJ UPKR IHET
Avaveo,Purdy Group,Oil/Gas Transmission,85-726-2528,"Just Energy Group, Inc.",JE,Public Utilities,MR81 2302 9306 4943 9566 8495 155
Yotz,Walsh Inc,Construction/Ag Equipment/Trucks,06-789-8373,Columbus McKinnon Corporation,CMCO,Capital Goods,GI11 ARWB YRZH NKDF SYNV VO8
Buzzster,"Lindgren, Satterfield and Metz",Medical/Dental Instruments,83-266-2107,Mazor Robotics Ltd.,MZOR,Health Care,CZ16 1285 4608 8884 7578 4887
Eire,"Wuckert, Hamill and Donnelly",Telecommunications Equipment,39-208-5974,Inseego Corp.,INSG,Consumer Durables,ME50 0515 0446 6702 0871 23
Mynte,Jacobs and Sons,Oil & Gas Production,71-840-2560,Marine Petroleum Trust,MARPS,Energy,GL81 7433 6354 8700 21
Skippad,"O'Reilly, Runolfsson and Weissnat",Natural Gas Distribution,65-163-9132,"NuStar Logistics, L.P.",NSS,Energy,LU32 056B 4VU7 VKPK 6NAB
Skidoo,"Carter, Harber and Frami",n/a,49-609-9121,Saratoga Investment Corp,SAR,n/a,IT10 W783 5913 187K DLM6 1Q3R YCM
Linklinks,"Feest, Hane and Kerluke",Integrated oil Companies,83-767-2770,"Vertex Energy, Inc",VTNR,Energy,BR02 0918 5325 0591 1253 8100 460Z Q
Kwimbee,Abshire-Spencer,n/a,00-271-2041,Loncar Cancer Immunotherapy ETF,CNCR,n/a,LB50 0144 DKER NZFT YQ8U PDCD SKJB
Quinu,Mraz Group,Farming/Seeds/Milling,13-895-4435,"The Andersons, Inc.",ANDE,Consumer Services,MK26 250S OIRW TVCD C73
Youopia,Trantow Group,Television Services,47-421-3528,"Cable One, Inc.",CABO,Consumer Services,LB28 7312 MW3X VVYC HI6Q IE2C RYGE
Trilith,Larson Group,Automotive Aftermarket,50-413-6619,Murphy USA Inc.,MUSA,Consumer Durables,FR76 6784 7458 308O OIO5 GVLZ Q20
Photofeed,"Morissette, Reichel and Lehner",Paints/Coatings,86-367-7205,Ferro Corporation,FOE,Basic Industries,BE70 1435 8608 0490
Aimbu,Kreiger and Sons,Industrial Machinery/Components,07-764-7116,"Alamo Group, Inc.",ALG,Capital Goods,DO49 UHKO 9248 6291 8948 3627 2971
Shufflebeat,Veum LLC,n/a,29-495-7959,NASDAQ TEST STOCK,NTEST.C,n/a,AZ49 KJHA PPC1 MVEQ Y9SJ XIKE QCFJ
Skalith,West Inc,n/a,85-303-3027,Scudder Strategic Municiple Income Trust,KSM,n/a,FR61 7847 5593 52V2 WQ9D NL5X B15
Flipbug,"Morar, Ruecker and Hane",n/a,93-987-8667,VictoryShares US Small Cap Volatility Wtd ETF,CSA,n/a,BG26 ZQQW 1102 60RI GOEN ZD
Rhynoodle,Monahan Group,Oil & Gas Production,20-069-3530,"Cobalt International Energy, Inc.",CIE,Energy,SE35 2800 7465 5037 3686 9928
Twitterlist,Padberg-Mitchell,Metal Fabrications,01-173-4434,Quanex Building Products Corporation,NX,Capital Goods,BH89 HFKH G7VS DP4D 59XX GR
Wikido,"Padberg, Morar and Effertz","Computer Software: Programming, Data Processing",12-032-4485,Yandex N.V.,YNDX,Technology,FR76 1671 6153 24QB TPHN 11ZD L22
Dabtype,Renner LLC,n/a,05-507-5650,"Blackrock MuniEnhanced Fund, Inc.",MEN,n/a,FR52 1114 9067 6691 G4A6 7EQ4 K32
Shuffletag,"Considine, Collins and Stiedemann",Computer Software: Prepackaged Software,32-999-3605,Momo Inc.,MOMO,Technology,FR62 4637 8329 34L2 ORL0 OJCD U30
Dablist,Jaskolski-Dickens,Real Estate Investment Trusts,89-708-2725,Weyerhaeuser Company,WY,Consumer Services,LT64 1101 7804 7328 5811
Yambee,Fay-Wiegand,Real Estate Investment Trusts,21-898-6828,DDR Corp.,DDR,Consumer Services,MK61 693R PHWJ NJ2C W66
Vinder,Brakus Inc,Medical Specialities,35-551-3658,"BioTelemetry, Inc.",BEAT,Health Care,SA04 038E PUTR LPFG QYXU EWVU
Twinte,Wilderman-Schmitt,Metal Fabrications,22-486-8073,"Franklin Electric Co., Inc.",FELE,Consumer Durables,GE11 JE90 2873 4982 9875 59
Chatterbridge,Braun-Wehner,n/a,21-768-5023,Eaton Vance NextShares Trust II,EVLMC,n/a,RO38 UHCL M0E2 R9LU A8KR WPBI
Wikizz,"Heaney, Denesik and Borer","Computer Software: Programming, Data Processing",38-959-9016,"Moxian, Inc.",MOXC,Technology,BA37 8897 3070 0295 0613
Photojam,"Koch, Beatty and Volkman",Finance/Investors Services,18-952-7987,Arlington Asset Investment Corp,AIC,Finance,MT68 OAMI 8125 3XU2 MDUD PZYV 9VSX BIC
Snaptags,"Hudson, Leffler and Spencer",Specialty Chemicals,19-057-7335,"Innophos Holdings, Inc.",IPHS,Consumer Durables,CH28 2168 5FJK LKO8 7AIQ O
Flashdog,"Funk, Thiel and Erdman",Medical/Dental Instruments,65-954-3464,"AngioDynamics, Inc.",ANGO,Health Care,MR31 2748 6380 7776 6729 3711 048
Livetube,"Shields, Feeney and Franecki",Property-Casualty Insurers,17-070-3796,XL Group Ltd.,XL,Finance,ES40 7529 9174 7436 9616 8044
Jetpulse,Moore-Vandervort,Major Banks,06-712-6638,CVB Financial Corporation,CVBF,Finance,FR25 6386 8459 35ET XIN6 PPYC 725
Zazio,"Rowe, Braun and Senger",n/a,38-267-8346,Blackstone GSO Long Short Credit Income Fund,BGX,n/a,SE65 5630 1513 5048 1051 5651
Dynabox,Koch-Hegmann,Commercial Banks,24-252-1666,Bank of N.T. Butterfield & Son Limited (The),NTB,Finance,BE43 9571 1382 6066
Tagchat,Bailey-O'Hara,Other Consumer Services,91-836-9115,Crestwood Equity Partners LP,CEQP,Consumer Services,CZ15 6079 6678 6597 4290 7681
Jatri,Lakin Inc,Semiconductors,27-691-6816,DAQO New Energy Corp.,DQ,Technology,GI03 CRPW XO5R QCSY MZMW VK1
Vitz,Weimann-Borer,Major Pharmaceuticals,25-213-0109,Eli Lilly and Company,LLY,Health Care,PL57 3394 5959 4088 7422 5026 3179
Realcube,Funk-Padberg,Building Materials,58-211-8089,Cemex S.A.B. de C.V.,CX,Capital Goods,FR50 7914 0174 44BS QIXQ CKMK O06
Devify,Schimmel and Sons,Commercial Banks,14-516-8390,iPath US Treasury 5-year Bear ETN,DFVS,Finance,LU90 371A PIVM 1ISY QW7X
Aimbo,"Nitzsche, Walsh and Hammes",Other Specialty Stores,40-223-7339,"Ferrellgas Partners, L.P.",FGP,Consumer Services,FI90 4765 1015 5801 40
Livefish,"Klocko, West and Toy",Real Estate Investment Trusts,95-172-9246,VEREIT Inc.,VER,Consumer Services,RO33 NSPF 8HHM WTMA QUCO Q8QF
Tagpad,Keeling Inc,Metal Fabrications,91-264-1930,"Watts Water Technologies, Inc.",WTS,Capital Goods,AL30 2698 8408 OIHC ZGUK ZLXS SM4V
Feedfire,Kunze-Wolf,Finance: Consumer Services,22-566-6465,American Express Company,AXP,Finance,PL68 4744 8158 4772 8734 7072 4482
Browsebug,Hilpert and Sons,Real Estate Investment Trusts,62-746-6869,"Digital Realty Trust, Inc.",DLR,Consumer Services,PK62 JCEN ONGI VSDW 1RQX CKYJ
Rhynoodle,Kuhn Group,Major Banks,88-676-1705,"Popular, Inc.",BPOPM,Finance,SM78 H577 5486 079J AHZM PHNT 5R1
Centidel,"Hills, Nicolas and Breitenberg",Farming/Seeds/Milling,19-701-2117,S&W Seed Company,SANW,Consumer Non-Durables,TR58 2824 6H4T ETFU IEG4 RAE3 97
Ntags,Barrows Group,Food Distributors,83-618-1535,"United Natural Foods, Inc.",UNFI,Consumer Non-Durables,FR22 4882 2589 40F3 AEKZ NDFB R33
Zooveo,Wiza Inc,Major Pharmaceuticals,38-466-9703,Concordia International Corp.,CXRX,Health Care,TR66 1806 83UQ MSSV 3R1S A45C WH
Meedoo,Bogisich-Feeney,Movies/Entertainment,34-554-1012,Marcus Corporation (The),MCS,Consumer Services,TN94 7426 4933 5122 9777 5425
Eadel,"Wiza, Rutherford and Ullrich",n/a,24-338-2712,Gabelli Utility Trust (The),GUT,n/a,IT90 J414 0757 794I NBWQ SC1L 5E9
Trudoo,"Toy, Pacocha and Hickle",Radio And Television Broadcasting And Communications Equipment,56-774-2709,Superconductor Technologies Inc.,SCON,Technology,FR98 9455 4677 92RR DRLK VRZX 473
Fivechat,Donnelly-Gutkowski,Auto Manufacturing,16-884-9956,Fiat Chrysler Automobiles N.V.,FCAU,Capital Goods,BA64 9441 5306 2485 9557
Agivu,Lang Group,Real Estate Investment Trusts,64-105-7384,RAIT Financial Trust,RFT,Consumer Services,GE27 ZJ54 9208 8040 4261 69
Myworks,Osinski-Swift,n/a,17-754-1747,PartnerRe Ltd.,PRE^G,n/a,SE47 8394 8295 9541 2020 5359
Kaymbo,"McLaughlin, Shields and Hagenes",n/a,95-293-8985,Harvest Capital Credit Corporation,HCAP,n/a,CH13 4560 1DYF OBAS 6BNN G
Twitterworks,"Kilback, Carroll and Ritchie",Investment Bankers/Brokers/Service,50-609-0941,Stifel Financial Corporation,SF,Finance,RO85 KGVD NL33 T0XQ 7NU6 I3AO
Divavu,McGlynn Group,Medical Specialities,78-700-9119,"Alliance HealthCare Services, Inc.",AIQ,Health Care,AL36 4098 7995 RDXP CKWF AECM QVM5
Twitterbeat,Wehner-Muller,Restaurants,93-539-0049,"Chuy's Holdings, Inc.",CHUY,Consumer Services,LI97 3800 0YQ5 VF4L C0KO D
Realpoint,"Gusikowski, Willms and Koch",Steel/Iron Ore,34-590-9123,Northwest Pipe Company,NWPX,Basic Industries,BE05 2696 3718 8519
Youfeed,Walter LLC,Business Services,82-251-4648,Conyers Park Acquisition Corp.,CPAAW,Finance,FR25 8716 4665 53GO IUQM VDDY F68
Fatz,Kuhlman Group,RETAIL: Building Materials,43-889-3188,Fastenal Company,FAST,Consumer Services,MD60 H3B8 DRFW 8CCZ VKAT 4GKR
Voonte,Mills-Hammes,Industrial Machinery/Components,04-108-7473,"CBAK Energy Technology, Inc.",CBAK,Miscellaneous,FR75 1516 9563 50SD SFQG SSDL 065
Babbleblab,"Bogan, Legros and Robel",Apparel,31-914-3674,"J. Jill, Inc.",JILL,Consumer Non-Durables,RO89 LNTF D9JP R9TU QZFV UN3U
Chatterpoint,"Grimes, Boyer and DuBuque",Banks,06-922-3123,Entegra Financial Corp.,ENFC,Finance,IS61 3528 5127 3871 5261 1988 48
Omba,Murphy-Marks,Major Pharmaceuticals,78-339-3239,"Cellectar Biosciences, Inc.",CLRB,Health Care,GT80 DU7H ZCCZ M6CL ZFBH GDAI 9QKT
Edgetag,Bartell-Adams,Major Banks,81-687-8562,Capital City Bank Group,CCBG,Finance,FI09 8866 0323 8133 29
Devbug,"Hilpert, Kulas and Gorczany",Major Chemicals,00-089-3769,Sensient Technologies Corporation,SXT,Basic Industries,FR77 9973 6769 651L CWUV NT89 O69
Yotz,Dietrich-Lakin,Industrial Machinery/Components,69-035-7171,"Electro Scientific Industries, Inc.",ESIO,Miscellaneous,AZ56 BQPB 2IRL ZGIU MYMR Z7JP O2D1
Zooxo,Halvorson Group,Accident &Health Insurance,77-663-8104,Principal Financial Group Inc,PFG,Finance,BE16 6588 2428 7513
Edgetag,"Heathcote, Osinski and Weber",n/a,97-437-6876,First Trust United Kingdom AlphaDEX Fund,FKU,n/a,MC69 3463 9428 90T0 9YMX L84G N52
Voolith,Bechtelar-Fritsch,Auto Parts:O.E.M.,97-241-1724,Modine Manufacturing Company,MOD,Capital Goods,ES75 2100 7791 3606 8810 0721
Wikizz,Rau and Sons,Forest Products,95-103-3643,Masco Corporation,MAS,Basic Industries,FR34 3679 6830 76RC 8CVW ZNLY D70
Brightbean,Schowalter-Rohan,Business Services,17-913-2387,Xerox Corporation,XRX,Miscellaneous,FR38 2974 0986 97ZF GIGN XST6 O69
Yamia,"Barton, Wehner and Mohr",n/a,68-063-8591,Invesco Bond Fund,VBF,n/a,LV47 FXPT QONH XUQF ZL8B V
Jayo,Bogan-Macejkovic,Precious Metals,35-893-4885,Eldorado Gold Corporation,EGO,Basic Industries,CR81 3909 5875 6936 2831 0
Youbridge,"Casper, Cassin and Bartell",Major Pharmaceuticals,32-525-9930,"Sucampo Pharmaceuticals, Inc.",SCMP,Health Care,AT58 3394 5130 4145 1425
Mybuzz,Franecki LLC,n/a,11-846-5810,Gabelli Global Small and Mid Cap Value Trust (The),GGZ^A,n/a,SE41 4530 1591 8918 5195 2372
Photofeed,Herman LLC,Semiconductors,41-441-9442,Cypress Semiconductor Corporation,CY,Technology,SA43 12UH VJ5N ET3R HRR9 ZEOD
Dazzlesphere,Trantow-Block,Department/Specialty Retail Stores,27-287-4044,"Big Lots, Inc.",BIG,Consumer Services,BA22 4787 3338 5204 1590
Eamia,Kautzer-Dooley,Investment Managers,55-530-5888,Noah Holdings Ltd.,NOAH,Finance,GT38 RAJD CS2D JUDU O9HS BKR0 F5LZ
Voomm,"Rowe, Bradtke and Mayert",n/a,65-054-9420,Capital One Financial Corporation,COF^P,n/a,MC49 0537 6215 46NK I6GQ PLQX T43
Meevee,Kuhic Group,Plastic Products,01-213-1472,Tupperware Brands Corporation,TUP,Consumer Non-Durables,GB50 WJYY 1797 1171 9826 61
Photolist,Cruickshank-Skiles,Major Pharmaceuticals,13-679-7172,"AcelRx Pharmaceuticals, Inc.",ACRX,Health Care,RO97 FZIY F3SR MCHP 7PGQ L74V
Mybuzz,Rodriguez-Dickens,Electrical Products,02-514-8168,"Cohu, Inc.",COHU,Capital Goods,FR91 8306 4743 54ZQ JZJK 1CYQ K86
Photospace,Denesik-Wunsch,Medical/Dental Instruments,91-528-2580,Nevro Corp.,NVRO,Health Care,LT25 9147 6117 3727 2577
Yoveo,"Glover, Luettgen and Waters",Semiconductors,71-623-5410,On Track Innovations Ltd,OTIV,Technology,BR59 2774 4032 6701 2271 1155 439V T
Youbridge,"Lesch, Ziemann and Ward",Precious Metals,34-225-5188,Primero Mining Corp,PPP,Basic Industries,MR45 2484 7888 2378 9305 9202 026
Wordpedia,Heidenreich LLC,Biotechnology: Electromedical & Electrotherapeutic Apparatus,78-196-7546,EDAP TMS S.A.,EDAP,Health Care,TN34 2851 0551 5638 3626 7166
Divavu,Durgan-Bashirian,Major Pharmaceuticals,33-083-5872,Auris Medical Holding AG,EARS,Health Care,SA73 08VJ BOC5 GW5Y UPGM BP7I
Livepath,Wisoky and Sons,n/a,94-056-5079,Bank of America Corporation,BML^G,n/a,GE70 TA81 7147 4041 4039 34
Riffpedia,Rath-Treutel,Hotels/Resorts,35-193-2479,Marriott International,MAR,Consumer Services,BA04 7748 3988 8300 7508
Skinte,Schroeder-Beahan,n/a,55-968-9123,First Trust NASDAQ Smartphone Index Fund,FONE,n/a,HR77 2673 4163 7737 5124 2
Skivee,Robel Group,Paper,96-853-4685,Glatfelter,GLT,Basic Industries,MK72 391A YRY9 LK54 N42
Jaxnation,Prosacco-Wuckert,Other Specialty Stores,38-397-0864,Titan Machinery Inc.,TITN,Consumer Services,HU54 6112 4404 0357 6796 6396 2805
Gabtune,"Kohler, Kilback and Smitham",Hospital/Nursing Management,64-576-2423,"The Ensign Group, Inc.",ENSG,Health Care,FR65 0606 6695 60DV CMFV FJWZ R60
Yacero,Labadie Group,n/a,09-166-0427,TICC Capital Corp.,TICCL,n/a,GT51 P2QN 65LZ F9YK X1NI XRJZ UDS5
Meeveo,Murray-Friesen,Investment Bankers/Brokers/Service,44-335-0260,LPL Financial Holdings Inc.,LPLA,Finance,FR84 1337 8821 07PH 3W1A 873M 757
Skipfire,Bins Inc,n/a,44-229-8611,PowerShares Russell 1000 Low Beta Equal Weight Portfolio,USLB,n/a,DO93 Y0HY 1823 4065 6982 9934 4887
Cogilith,"Becker, Von and Gutkowski",n/a,42-507-7392,iShares Core MSCI Total International Stock ETF,IXUS,n/a,EE02 5275 1747 4663 5246
Babbleset,"Pacocha, Prohaska and Kling",Mining & Quarrying of Nonmetallic Minerals (No Fuels),89-305-9792,Sociedad Quimica y Minera S.A.,SQM,Basic Industries,CH03 7831 6QXY QEIX MZUC 4
Skinte,"Dach, MacGyver and Green",n/a,45-732-6631,Prospect Capital Corporation,PSEC,n/a,MD97 L8YM 7XHE AGQH 40ST JUXL
Zoombeat,"Toy, Bins and Okuneva",Major Pharmaceuticals,60-507-1556,"Pulmatrix, Inc.",PULM,Health Care,SK55 3739 6335 3302 9909 0680
Livefish,"Koepp, Greenholt and Gerlach",Oil & Gas Production,16-682-1582,"Continental Resources, Inc.",CLR,Energy,LU03 916P ZMXF CPD8 9G5P
Divavu,Bogisich-Quitzon,EDP Services,56-864-3352,"Park City Group, Inc.",PCYG,Technology,AT14 4894 2101 2736 9968
Kaymbo,"Mueller, Collier and Bode",Semiconductors,71-785-7606,AXT Inc,AXTI,Technology,BR88 9490 3975 5686 8258 1225 588X G
Mynte,Wiza-Wilkinson,Consumer Specialties,77-921-7270,Charles & Colvard Ltd,CTHR,Consumer Durables,GR30 0292 010R XURF BKHZ AJQO B3L
Pixonyx,Trantow-Bogan,Major Banks,61-418-6449,Trustmark Corporation,TRMK,Finance,PS66 JHSU PNJC DEYZ X2NN JN7K ZAIJ A
Divanoodle,"Sauer, Zulauf and Wolf",Life Insurance,93-909-8213,"Reinsurance Group of America, Incorporated",RZB,Finance,FR65 0409 6768 74WK 0TUM BIAA 471
Rhyzio,"Kertzmann, Dooley and Carter",n/a,38-753-6954,"Lazard World Dividend & Income Fund, Inc.",LOR,n/a,DO05 HNMZ 0536 8589 6081 7254 0198
Skiba,"Waelchi, McClure and Schmidt",Major Pharmaceuticals,26-300-3896,OvaScience Inc.,OVAS,Health Care,FO61 0165 0159 8354 46
Brainlounge,Ebert LLC,EDP Services,33-281-8102,MIND C.T.I. Ltd.,MNDO,Technology,IS77 6286 4674 4833 2906 9774 25
Eimbee,Quigley Inc,Marine Transportation,43-762-3561,Marine Products Corporation,MPX,Capital Goods,FO87 1533 0906 3108 89
Browseblab,Wolf and Sons,Major Banks,48-057-0998,Comerica Incorporated,CMA,Finance,DO93 GOWQ 4485 9763 1085 0502 8690
Skipfire,"Ratke, Ernser and Bauch",Television Services,66-309-8288,Comcast Corporation,CCV,Consumer Services,FR70 4897 1677 63IE C6SE H6JE 851
Myworks,Kirlin-Dare,Major Banks,87-451-6336,"Royal Bancshares of Pennsylvania, Inc.",RBPAA,Finance,FO92 3883 8578 6129 91
Plambee,Davis-Sporer,Business Services,49-131-9777,Andina Acquisition Corp. II,ANDA,Finance,DE13 0696 3713 5569 4032 49
Twitterworks,Larkin LLC,Television Services,48-184-7050,Time Warner Inc.,TWX,Consumer Services,DE94 8284 8401 4427 8587 28
Dynava,D'Amore-Fritsch,Major Banks,46-286-2763,Farmers Capital Bank Corporation,FFKT,Finance,NO20 3164 0252 655
Cogidoo,Durgan-Farrell,Home Furnishings,25-955-7028,GP Investments Acquisition Corp.,GPIAU,Consumer Durables,BR54 7754 1248 8862 5454 2276 389M A
Brainlounge,Abshire and Sons,Agricultural Chemicals,62-853-7910,Syngenta AG,SYT,Basic Industries,FR37 5439 0772 21RC Z6YF 169Q O51
Bluezoom,Labadie-Beahan,Forest Products,20-810-7124,"Patrick Industries, Inc.",PATK,Basic Industries,MT75 VCPM 4904 2XJT IINF UPJU Z7YR NC7
Nlounge,Kulas and Sons,Restaurants,75-907-3380,"Carrols Restaurant Group, Inc.",TAST,Consumer Services,FR88 0072 2303 88AL 5LOT FDRG J90
Kamba,Dach-Sauer,Fluid Controls,33-010-0542,Xylem Inc.,XYL,Capital Goods,CH21 9601 8X1Y CD5O FXSG 5
Browseblab,"Emmerich, Vandervort and Morar",Industrial Machinery/Components,25-349-1670,"Rudolph Technologies, Inc.",RTEC,Capital Goods,AD12 7748 5484 QGGS G4BB QXX2
Jaxbean,"Rogahn, Raynor and Hudson",Major Pharmaceuticals,89-395-7098,Tonix Pharmaceuticals Holding Corp.,TNXP,Health Care,IL83 9465 4070 4509 3848 323
Fatz,"Reynolds, Hettinger and Larkin",Industrial Machinery/Components,42-701-6229,Capstone Turbine Corporation,CPST,Energy,LI06 4986 965V JAU9 WBNT 2
Zoomcast,Nolan-Gerhold,Property-Casualty Insurers,31-173-1652,State Auto Financial Corporation,STFC,Finance,BE94 0390 5664 3820
Rhyloo,Herman Inc,Real Estate Investment Trusts,77-969-2763,"Equinix, Inc.",EQIX,Consumer Services,TN82 5529 8646 5404 7580 1466
Yakitri,Towne-O'Connell,Military/Government/Technical,19-591-2502,"Orion Group Holdings, Inc.",ORN,Basic Industries,CH11 7553 0QMJ XIXO RNWA 9
Photolist,"Legros, Brown and Cummings",Specialty Insurers,64-039-7739,"Marsh & McLennan Companies, Inc.",MMC,Finance,FR27 3038 6260 912L EE4G AQSF Y55
Flipbug,Lindgren and Sons,Restaurants,30-683-5663,Arcos Dorados Holdings Inc.,ARCO,Consumer Services,DE26 9434 8489 0741 8011 89
Oyope,Daniel-Moen,Property-Casualty Insurers,72-597-7475,National General Holdings Corp,NGHCO,Finance,LB13 3978 HFWH KPB8 YHVL CYS8 YDVT
Voonte,"Doyle, Skiles and Kessler",Biotechnology: In Vitro & In Vivo Diagnostic Substances,32-512-9491,Oxford Immunotec Global PLC,OXFD,Health Care,DE97 7464 5561 0610 3983 26
Divanoodle,Tromp LLC,Packaged Foods,57-974-1090,Dean Foods Company,DF,Consumer Non-Durables,MC62 9707 8723 12VA U8OW IXUH 471
Tagfeed,Wolf-Hudson,Major Banks,87-422-1759,Western Alliance Bancorporation,WAL,Finance,GB14 RCXY 2218 8343 9373 14
Eabox,Mayer Inc,Savings Institutions,48-822-6487,"Magyar Bancorp, Inc.",MGYR,Finance,MC11 7520 4000 53PI TOZ3 7GJZ 604
Quinu,"Gutmann, Thiel and Bernhard",n/a,83-843-5008,First Trust Large Cap Value AlphaDEX Fund,FTA,n/a,FI21 7732 3140 5737 88
Meembee,Effertz-Moen,EDP Services,47-441-9917,"Agilysys, Inc.",AGYS,Technology,FR13 1715 7862 68Y2 B6VX OSRI Y24
Thoughtblab,Marks Group,Diversified Commercial Services,47-307-9657,"FlexShopper, Inc.",FPAY,Technology,GR30 0296 627M QXCO NB5F I1WI KVG
Dazzlesphere,Durgan-Adams,Packaged Foods,40-793-0944,"Inventure Foods, Inc.",SNAK,Consumer Non-Durables,FR70 2126 1443 44IJ 4UKK OO0G A12
Skilith,Hansen and Sons,Telecommunications Equipment,94-214-5648,"Alaska Communications Systems Group, Inc.",ALSK,Public Utilities,VG94 UVTC 6500 2491 4771 6928
Devify,"Nitzsche, Kertzmann and Mayert",Major Pharmaceuticals,90-679-4937,"Endocyte, Inc.",ECYT,Health Care,NL72 QEOM 9847 5892 80
Riffpath,Jakubowski-Kozey,Major Pharmaceuticals,97-583-0066,Peregrine Pharmaceuticals Inc.,PPHM,Health Care,CY35 6753 7149 OBJB QFKE KWEB COGI
Chatterbridge,Hodkiewicz-Howell,Industrial Specialties,14-867-0008,"Span-America Medical Systems, Inc.",SPAN,Health Care,BR67 4926 9606 4991 0194 5158 932G O
Podcat,Cummings Group,Major Pharmaceuticals,13-544-4191,RXi Pharmaceuticals Corporation,RXIIW,Health Care,SA05 74IK FMKR HMQ4 BXVF SQWA
Jamia,"Green, Schinner and Lowe",Major Banks,95-147-9634,State Street Corporation,STT,Finance,DE06 9258 2273 4143 5526 72
Zooveo,Schiller LLC,Computer Software: Prepackaged Software,98-061-7039,QAD Inc.,QADA,Technology,AZ94 OKOU W0EF O4E5 2APG A9ZA GKGT
Aibox,"Harber, Prosacco and Gleichner",n/a,43-607-9273,Arbor Realty Trust,ABR^C,n/a,FR50 9041 7222 44TE ZGJO MISI E07
Roodel,"Kuphal, Hettinger and Rath",Property-Casualty Insurers,01-860-2772,Till Capital Ltd.,TIL,Finance,LI35 0491 6RVW IUKK 2BKI F
Miboo,Rutherford-Casper,n/a,05-794-2629,PIMCO Income Strategy Fund,PFL,n/a,PL57 0580 6441 3532 9271 2373 1085
Omba,Jacobson-Wuckert,n/a,80-255-9335,"Voya Infrastructure, Industrials and Materials Fund",IDE,n/a,FR45 7264 1072 31F1 QCSD SW2A 753
Twimm,Waters-Lubowitz,Major Pharmaceuticals,40-649-1141,Redhill Biopharma Ltd.,RDHL,Health Care,PL80 7602 8756 5267 5845 7939 3468
Realmix,Medhurst-Kassulke,Biotechnology: Electromedical & Electrotherapeutic Apparatus,10-351-7370,"NxStage Medical, Inc.",NXTM,Health Care,FR45 6610 9616 02SU HYWM SB5V B31
Voomm,"Crooks, Feeney and Rice",Other Pharmaceuticals,80-202-4452,AmerisourceBergen Corporation (Holding Co),ABC,Health Care,GI59 CBSY B2SS OB5G EFAJ SBB
Dablist,Jaskolski Group,n/a,84-648-5501,RenaissanceRe Holdings Ltd.,RNR^C,n/a,FR93 6350 1255 09SZ LMRR CQHW M64
Npath,Swaniawski Group,Major Banks,23-373-0908,Northern Trust Corporation,NTRS,Finance,GE06 MU32 9200 0676 2317 45
Flashspan,Huels Group,Medical/Dental Instruments,30-465-3496,ResMed Inc.,RMD,Health Care,EE51 7254 4766 5446 7684
Abatz,"Wiza, Kirlin and Bauch",Package Goods/Cosmetics,74-017-0160,"Inter Parfums, Inc.",IPAR,Consumer Non-Durables,MK17 5089 RKUZ ZLJP C10
Voomm,"Jacobi, Barton and Kreiger",Trucking Freight/Courier Services,13-148-1086,"USA Truck, Inc.",USAK,Transportation,BH78 EAKX TALC ZYHN YHZ5 8R
Youopia,"Halvorson, Wiza and Zboncak",Catalog/Specialty Distribution,17-469-9259,Liberty Interactive Corporation,LVNTA,Consumer Services,TN73 0818 1070 6948 0874 2326
Jaloo,Cartwright LLC,Banks,17-770-5829,"ESSA Bancorp, Inc.",ESSA,Finance,FR08 1561 3357 11AB MUJH FTL9 L30
Meembee,Denesik-Daugherty,Movies/Entertainment,46-723-0143,"Genius Brands International, Inc.",GNUS,Consumer Services,GE50 DM85 2764 3333 2747 98
Edgepulse,"Gulgowski, Bayer and Volkman",Building operators,91-609-7960,The Intergroup Corporation,INTG,Consumer Services,PL66 3378 3607 9265 8382 6892 0305
Quatz,"Leuschke, Wilderman and Satterfield",Metal Fabrications,82-199-8323,Baker Hughes Incorporated,BHI,Energy,FR38 6758 1596 37LT Y9AA O9FL R88
Eadel,"Tillman, Bosco and Berge",Business Services,23-132-3889,Andina Acquisition Corp. II,ANDAU,Finance,SK98 6140 0641 6757 3872 7416
