Contract Identifier,Instrument Identifier,Channel of Origination,Date of Origination,Country of Origination,Asset Class,Loan Purpose,Product Type,Amortisation Type,Original Maturity Date,Current Maturity Date,Loan Currency,Origination Amount,Principal Balance,Accrued Interest Balance (On book),Total Balance,Original Interest Rate,Original Interest Rate Type,Current Interest Rate Type,Current Interest Rate Reference,Early Redemption Penalty,Last Payment Date,Last Payment Amount,Next Principal Scheduled Repayment Amount,Loan Status,Days in Past-Due,,,,
,ZLP27496,Branch,9/17/2013,Ireland,,Mortage,Loan,Linear,4/28/2045,5/3/2045,EUR,126142.8571,190000,500,190500,,fixed,fixed,,0.03,7/26/2019,555.5555556,,non-performing,95,Not in MARP,,,8/30/2019
,ZLP27497,Web,9/18/2013,Ireland,,Mortage,Loan,Linear,4/29/2045,4/28/2051,EUR,122857.1429,142500,405,142905,,fixed,fixed,,0.03,7/26/2019,416.6666667,,non-performing,97,Not in MARP,,,8/30/2019
,ZLP27498,Broker,9/19/2013,Ireland,,Mortage,Loan,Linear,4/30/2045,4/29/2050,EUR,119571.4286,100020,578,100598,,mixed,fixed,,0.03,7/26/2019,277.7777778,,non-performing,93,Not in MARP,5 years fixed then variable,,8/30/2019
,ZLP27499,Branch,9/20/2013,Ireland,,Mortage,Loan,Linear,5/1/2045,4/30/2050,EUR,116285.7143,80750,425,81175,,fixed,fixed,,0.03,7/26/2019,236.1111111,,non-performing,90,Not in MARP,,,8/30/2019
,ZLP27500,Web,9/21/2013,Ireland,,Mortage,Loan,Linear,5/2/2045,5/1/2050,EUR,119571.4286,180000,34,180034,,fixed,fixed,,0.03,7/26/2019,555.5555556,,non-performing,92,Not in MARP,,,8/30/2019
,ZLP27501,Broker,9/22/2013,Ireland,,Mortage,Loan,Linear,5/3/2045,5/2/2050,EUR,116285.7143,147000,750,147750,,fixed,fixed,,0.03,7/23/2019,416.6666667,,non-performing,180,Not in MARP,,,8/30/2019
,ZLP27502,Branch,9/23/2013,Ireland,,Mortage,Loan,Linear,5/4/2045,5/3/2050,EUR,200000,129200,680,129880,,mixed,fixed,,0.03,7/26/2019,377.7777778,,non-performing,90,Not in MARP,5 years fixed then variable,,8/30/2019
,ZLP27503,Branch,9/24/2013,Ireland,,Mortage,Loan,Linear,5/5/2045,5/3/2053,EUR,200000,126078.5714,331.7857143,126410.3571,,fixed,fixed,,0.03,7/26/2019,368.6507937,,non-performing,91,Not in MARP,,,8/30/2019
,ZLP27504,Web,9/25/2013,Ireland,,Mortage,Loan,Linear,5/6/2045,5/11/2045,EUR,150000,122957.1429,349.4571429,123306.6,,fixed,fixed,,0.03,7/26/2019,359.5238095,,non-performing,95,ARA,,,8/30/2019
,ZLP27505,Broker,9/26/2013,Ireland,,Mortage,Loan,Linear,5/7/2045,5/12/2045,EUR,200000,119835.7143,729.1057143,120564.82,,fixed,fixed,,0.03,7/26/2019,350.3968254,,non-performing,97,Exited MARP,,,8/30/2019
,ZLP27506,Branch,9/27/2013,Ireland,,Mortage,Loan,Linear,5/8/2045,5/13/2045,EUR,175000,110571.4286,614.2857143,111185.7143,,fixed,fixed,,0.03,7/26/2019,341.2698413,,non-performing,93,Not in MARP,,,8/30/2019
,ZLP27507,Web,9/28/2013,Ireland,,Mortage,Loan,Linear,5/9/2045,5/14/2045,EUR,170000,117180,322.8428571,117502.8429,,fixed,fixed,,0.03,7/26/2019,332.1428571,,non-performing,270,ARA,,,8/30/2019
,ZLP27508,Broker,9/29/2013,Ireland,,Mortage,Loan,Linear,5/10/2045,5/15/2045,EUR,165000,110471.4286,672.1314286,111143.56,,fixed,fixed,,0.03,7/26/2019,323.015873,,non-performing,90,ARA,,,8/30/2019
,ZLP27509,Branch,9/30/2013,Ireland,,Mortage,Loan,Linear,5/11/2045,5/16/2045,EUR,160000,135000,750,135750,,fixed,fixed,,0.03,7/26/2019,416.6666667,,non-performing,91,ARA,,,8/30/2019
,ZLP27510,Branch,10/1/2013,Ireland,,Mortage,Loan,Linear,5/12/2045,5/11/2051,EUR,155000,98000,17,98017,,fixed,fixed,,0.03,7/26/2019,277.7777778,,non-performing,95,Not in MARP,,,8/30/2019
,ZLP27511,Web,10/2/2013,Ireland,,Mortage,Loan,Linear,5/13/2045,5/12/2050,EUR,150000,80750,14.45,80764.45,,fixed,fixed,,0.03,7/26/2019,236.1111111,,non-performing,97,Not in MARP,,,8/30/2019
,ZLP27512,Broker,10/3/2013,Ireland,,Mortage,Loan,Linear,5/14/2045,5/13/2050,EUR,145000,190000,34,190034,,fixed,fixed,,0.03,7/26/2019,555.5555556,,non-performing,93,Not in MARP,,,8/30/2019
,ZLP27513,Branch,10/4/2013,Ireland,,Mortage,Loan,Linear,5/15/2045,5/14/2050,EUR,140000,150030,375,150405,,fixed,fixed,,0.03,7/26/2019,416.6666667,,non-performing,75,Not in MARP,,,8/30/2019
,ZLP27514,Web,10/5/2013,Ireland,,Mortage,Loan,Linear,5/16/2045,5/15/2050,EUR,135000,129200,367.2,129567.2,,fixed,fixed,,0.03,7/22/2019,377.7777778,,non-performing,90,Not in MARP,,,8/30/2019
,ZLP27515,Broker,10/6/2013,Ireland,,Mortage,Loan,Linear,5/17/2045,5/16/2050,EUR,130000,140700,903.6066667,141603.6067,,fixed,fixed,,0.03,7/26/2019,434.2592593,,non-performing,91,Not in MARP,,,8/30/2019
,ZLP27516,Branch,10/7/2013,Ireland,,Mortage,Loan,Linear,5/18/2045,5/16/2053,EUR,125000,158666.6667,809.5238095,159476.1905,,mixed,fixed,,0.03,7/26/2019,449.7354497,,non-performing,95,Not in MARP,5 years fixed then variable,,8/30/2019
,ZLP27517,Branch,10/8/2013,Ireland,,Mortage,Loan,Linear,5/19/2045,5/24/2045,EUR,200000,159102.381,28.47095238,159130.8519,,variable,fixed,LIBOR,0.03,7/26/2019,465.2116402,,non-performing,97,Not in MARP,,LIBOR,8/30/2019
,ZLP27518,Web,10/9/2013,Ireland,,Mortage,Loan,Linear,5/20/2045,5/25/2045,EUR,200000,164395.2381,865.2380952,165260.4762,,fixed,fixed,,0.03,7/26/2019,480.6878307,,non-performing,93,Not in MARP,,,8/30/2019
,ZLP27519,Broker,10/10/2013,Ireland,,Mortage,Loan,Linear,5/21/2045,5/26/2045,EUR,150000,169688.0952,893.0952381,170581.1905,,fixed,fixed,,0.03,7/26/2019,496.1640212,,non-performing,170,Not in MARP,,,8/30/2019
,ZLP27520,Branch,10/11/2013,Ireland,,Mortage,Loan,Linear,5/22/2045,5/27/2045,EUR,200000,174980.9524,460.4761905,175441.4286,,mixed,fixed,,0.03,7/26/2019,511.6402116,,non-performing,90,Not in MARP,5 years fixed then variable,,8/30/2019
,ZLP27521,Web,10/12/2013,Ireland,,Mortage,Loan,Linear,5/23/2045,5/28/2045,EUR,175000,170785.7143,512.3571429,171298.0714,,fixed,fixed,,0.03,7/26/2019,527.1164021,,non-performing,91,Not in MARP,,,8/30/2019
,ZLP27522,Broker,10/13/2013,Ireland,,Mortage,Loan,Linear,5/24/2045,5/29/2045,EUR,170000,191426.6667,1129.026667,192555.6933,,fixed,fixed,,0.03,7/26/2019,0,,non-performing,95,Not in MARP,,,8/30/2019
,ZLP27523,Branch,10/14/2013,Ireland,,Mortage,Loan,Linear,5/25/2045,5/24/2051,EUR,165000,190000,1000,191000,,fixed,fixed,,0.03,7/26/2019,555.5555556,,non-performing,97,Not in MARP,,,8/30/2019
,ZLP27524,Branch,10/15/2013,Ireland,,Mortage,Loan,Linear,5/26/2045,5/25/2050,EUR,160000,135000,405,135405,,fixed,fixed,,0.03,7/26/2019,416.6666667,,non-performing,93,ARA,,,8/30/2019
,ZLP27525,Web,10/16/2013,Ireland,,Mortage,Loan,Linear,5/27/2045,5/26/2050,EUR,155000,98000,578,98578,,fixed,fixed,,0.03,7/26/2019,277.7777778,,non-performing,90,Exited MARP,,,8/30/2019
,ZLP27526,Broker,10/17/2013,Ireland,,Mortage,Loan,Linear,5/28/2045,5/27/2050,EUR,150000,80750,425,81175,,fixed,fixed,,0.03,7/26/2019,236.1111111,,non-performing,92,Not in MARP,,,8/30/2019
,ZLP27527,Branch,10/18/2013,Ireland,,Mortage,Loan,Linear,5/29/2045,5/28/2050,EUR,145000,190000,34,190034,,mixed,fixed,,0.03,7/23/2019,555.5555556,,non-performing,91,ARA,5 years fixed then variable,,8/30/2019
,ZLP27528,Web,10/19/2013,Ireland,,Mortage,Loan,Linear,5/30/2045,5/29/2050,EUR,140000,150030,25.5,150055.5,,fixed,fixed,,0.03,7/26/2019,416.6666667,,non-performing,95,ARA,,,8/30/2019
,ZLP27529,Broker,10/20/2013,Ireland,,Mortage,Loan,Linear,5/31/2045,5/29/2053,EUR,135000,129200,23.12,129223.12,,fixed,fixed,,0.03,7/26/2019,377.7777778,,non-performing,97,ARA,,,8/30/2019
,ZLP27530,Branch,10/21/2013,Ireland,,Mortage,Loan,Linear,6/1/2045,6/6/2045,EUR,130000,119442.8571,331.7857143,119774.6429,,fixed,fixed,,0.03,7/26/2019,368.6507937,,non-performing,93,Not in MARP,,,8/30/2019
,ZLP27531,Branch,10/22/2013,Ireland,,Mortage,Loan,Linear,6/2/2045,6/7/2045,EUR,125000,126840,349.4571429,127189.4571,,mixed,fixed,,0.03,7/26/2019,359.5238095,,non-performing,90,Not in MARP,5 years fixed then variable,,8/30/2019
,ZLP27532,Web,10/23/2013,Ireland,,Mortage,Loan,Linear,6/3/2045,6/8/2045,EUR,200000,119835.7143,729.1057143,120564.82,,fixed,fixed,,0.03,7/26/2019,350.3968254,,non-performing,92,Not in MARP,,,8/30/2019
,ZLP27533,Broker,10/24/2013,Ireland,,Mortage,Loan,Linear,6/4/2045,6/9/2045,EUR,221666.6667,116714.2857,614.2857143,117328.5714,,fixed,fixed,,0.03,7/26/2019,341.2698413,,non-performing,180,Not in MARP,,,8/30/2019
,ZLP27534,Branch,10/25/2013,Ireland,,Mortage,Loan,Linear,6/5/2045,6/10/2045,EUR,256666.6667,113592.8571,20.32714286,113613.1843,,fixed,fixed,,0.03,7/26/2019,332.1428571,,non-performing,170,Not in MARP,,,8/30/2019
,ZLP27535,Web,10/26/2013,Ireland,,Mortage,Loan,Linear,6/6/2045,6/11/2045,EUR,291666.6667,110471.4286,581.4285714,111052.8571,,fixed,fixed,,0.03,7/26/2019,323.015873,,non-performing,213,Not in MARP,,,8/30/2019
,ZLP27536,Broker,10/27/2013,Ireland,,Mortage,Loan,Linear,6/7/2045,6/6/2051,EUR,326666.6667,180000,1000,181000,,fixed,fixed,,0.03,7/26/2019,0,,non-performing,360,Not in MARP,,,8/30/2019
,ZLP27537,Branch,10/28/2013,Ireland,,Mortage,Loan,Linear,6/8/2045,6/7/2050,EUR,361666.6667,147000,375,147375,,fixed,fixed,,0.03,7/26/2019,416.6666667,,non-performing,90,Not in MARP,,,8/30/2019
,ZLP27538,Branch,10/29/2013,Ireland,,Mortage,Loan,Linear,6/9/2045,6/8/2050,EUR,396666.6667,95000,270,95270,,fixed,fixed,,0.03,7/26/2019,277.7777778,,non-performing,91,Not in MARP,,,8/30/2019
,ZLP27539,Web,10/30/2013,Ireland,,Mortage,Loan,Linear,6/10/2045,6/9/2050,EUR,431666.6667,76500,491.3,76991.3,,fixed,fixed,,0.03,7/26/2019,236.1111111,,non-performing,95,Not in MARP,,,8/30/2019
,ZLP27540,Broker,10/31/2013,Ireland,,Mortage,Loan,Linear,6/11/2045,6/10/2050,EUR,200000,196000,1000,197000,,fixed,fixed,,0.03,7/29/2019,555.5555556,,non-performing,97,Not in MARP,,,8/30/2019
,ZLP27541,Branch,11/1/2013,Ireland,,Mortage,Loan,Linear,6/12/2045,6/11/2050,EUR,150000,142500,405,142905,,fixed,fixed,,0.03,7/26/2019,416.6666667,,non-performing,93,Not in MARP,,,8/30/2019
,ZLP27542,Web,11/2/2013,Ireland,,Mortage,Loan,Linear,6/13/2045,6/11/2053,EUR,136000,129200,786.08,129986.08,,fixed,fixed,,0.03,7/26/2019,377.7777778,,non-performing,213,Not in MARP,,,8/30/2019
,ZLP27543,Broker,11/3/2013,Ireland,,Mortage,Loan,Linear,6/14/2045,6/19/2045,EUR,132714.2857,132740.8286,663.5714286,133404.4,,fixed,fixed,,0.03,7/26/2019,331.7857143,,non-performing,170,Not in MARP,,,8/30/2019
,ZLP27544,Branch,11/4/2013,Ireland,,Mortage,Loan,Linear,6/15/2045,6/20/2045,EUR,129428.5714,122957.1429,22.00285714,122979.1457,,fixed,fixed,,0.03,7/26/2019,359.5238095,,non-performing,90,ARA,,,8/30/2019
,ZLP27545,Branch,11/5/2013,Ireland,,Mortage,Loan,Linear,6/16/2045,6/21/2045,EUR,126142.8571,113528.5714,21.44428571,113550.0157,,mixed,fixed,,0.03,7/26/2019,350.3968254,,non-performing,91,Exited MARP,5 years fixed then variable,,8/30/2019
,ZLP27546,Web,11/6/2013,Ireland,,Mortage,Loan,Linear,6/17/2045,6/22/2045,EUR,122857.1429,120400,20.88571429,120420.8857,,variable,fixed,LIBOR,0.03,7/26/2019,341.2698413,,non-performing,95,Not in MARP,,LIBOR,8/30/2019
,ZLP27547,Broker,11/7/2013,Ireland,,Mortage,Loan,Linear,6/18/2045,6/23/2045,EUR,119571.4286,113592.8571,298.9285714,113891.7857,,fixed,fixed,,0.03,7/26/2019,332.1428571,,non-performing,97,ARA,,,8/30/2019
,ZLP27548,Branch,11/8/2013,Ireland,,Mortage,Loan,Linear,6/19/2045,6/24/2045,EUR,116285.7143,110471.4286,313.9714286,110785.4,,fixed,fixed,,0.03,7/26/2019,323.015873,,non-performing,93,ARA,,,8/30/2019
,ZLP27549,Web,11/9/2013,Ireland,,Mortage,Loan,Linear,6/20/2045,6/19/2051,EUR,150000,142500,867,143367,,mixed,fixed,,0.03,7/26/2019,0,,non-performing,320,ARA,5 years fixed then variable,,8/30/2019
,ZLP27550,Broker,11/10/2013,Ireland,,Mortage,Loan,Linear,6/21/2045,6/20/2050,EUR,100000,95000,500,95500,,fixed,fixed,,0.03,7/26/2019,277.7777778,,non-performing,90,Not in MARP,,,8/30/2019
,ZLP27551,Branch,11/11/2013,Ireland,,Mortage,Loan,Linear,4/12/2045,4/11/2050,EUR,85000,76500,14.45,76514.45,,fixed,fixed,,0.03,7/26/2019,236.1111111,,non-performing,91,Not in MARP,,,8/30/2019
,ZLP27552,Branch,11/12/2013,Ireland,,Mortage,Loan,Linear,4/13/2045,4/12/2050,EUR,200000,196000,1000,197000,,fixed,fixed,,0.03,7/26/2019,555.5555556,,non-performing,95,Not in MARP,,,8/30/2019
,ZLP27553,Web,11/13/2013,Ireland,,Mortage,Loan,Linear,4/14/2045,4/13/2050,EUR,150000,142500,750,143250,,fixed,fixed,,0.03,7/23/2019,416.6666667,,non-performing,97,Not in MARP,,,8/30/2019
,ZLP27554,Broker,11/14/2013,Ireland,,Mortage,Loan,Linear,4/15/2045,4/14/2050,EUR,136000,122400,340,122740,,fixed,fixed,,0.03,7/26/2019,377.7777778,,non-performing,93,Not in MARP,,,8/30/2019
,ZLP27555,Branch,11/15/2013,Ireland,,Mortage,Loan,Linear,4/16/2045,4/14/2053,EUR,156333.3333,153206.6667,422.1,153628.7667,,fixed,fixed,,0.03,7/26/2019,434.2592593,,non-performing,97,Not in MARP,,,8/30/2019
,ZLP27556,Web,11/16/2013,Ireland,,Mortage,Loan,Linear,4/17/2045,4/22/2045,EUR,161904.7619,153809.5238,935.8095238,154745.3333,,mixed,fixed,,0.03,7/26/2019,449.7354497,,non-performing,90,Not in MARP,5 years fixed then variable,,8/30/2019
,ZLP27557,Broker,11/17/2013,Ireland,,Mortage,Loan,Linear,4/18/2045,4/23/2045,EUR,167476.1905,159102.381,837.3809524,159939.7619,,fixed,fixed,,0.03,7/26/2019,465.2116402,,non-performing,91,Not in MARP,,,8/30/2019
,ZLP27558,Branch,11/18/2013,Ireland,,Mortage,Loan,Linear,4/19/2045,4/24/2045,EUR,173047.619,173082.2286,467.2285714,173549.4571,,fixed,fixed,,0.03,7/26/2019,480.6878307,,non-performing,95,Not in MARP,,,8/30/2019
,ZLP27559,Branch,11/19/2013,Ireland,,Mortage,Loan,Linear,4/20/2045,4/25/2045,EUR,178619.0476,169688.0952,1032.418095,170720.5133,,fixed,fixed,,0.03,7/26/2019,496.1640212,,non-performing,97,Not in MARP,,,8/30/2019
,ZLP27560,Web,11/20/2013,Ireland,,Mortage,Loan,Linear,4/21/2045,4/26/2045,EUR,184190.4762,165771.4286,920.952381,166692.381,,mixed,fixed,,0.03,7/26/2019,511.6402116,,non-performing,93,Not in MARP,5 years fixed then variable,,8/30/2019
,ZLP27561,Broker,11/21/2013,Ireland,,Mortage,Loan,Linear,4/22/2045,4/27/2045,EUR,189761.9048,185966.6667,32.25952381,185998.9262,,fixed,fixed,,0.03,7/26/2019,527.1164021,,non-performing,360,Not in MARP,,,8/30/2019
,ZLP27562,Branch,11/22/2013,Ireland,,Mortage,Loan,Linear,4/23/2045,4/22/2051,EUR,195333.3333,185566.6667,33.20666667,185599.8733,,fixed,fixed,,0.03,7/26/2019,542.5925926,,non-performing,90,Not in MARP,,,8/30/2019
,ZLP27563,Web,11/23/2013,Ireland,,Mortage,Loan,Linear,4/24/2045,4/23/2050,EUR,200000,190000,34,190034,,fixed,fixed,,0.03,7/26/2019,555.5555556,,non-performing,92,Not in MARP,,,8/30/2019
,ZLP27564,Broker,11/24/2013,Ireland,,Mortage,Loan,Linear,4/25/2045,4/24/2050,EUR,150000,142500,375,142875,,fixed,fixed,,0.03,7/26/2019,600,,non-performing,180,ARA,,,8/30/2019
,ZLP27565,Branch,11/25/2013,Ireland,,Mortage,Loan,Linear,4/26/2045,4/25/2050,EUR,100000,95000,270,95270,,fixed,fixed,,0.03,7/26/2019,277.7777778,,non-performing,170,Exited MARP,,,8/30/2019
,ZLP27566,Branch,11/26/2013,Ireland,,Mortage,Loan,Linear,4/27/2045,4/26/2050,EUR,85000,76500,491.3,76991.3,,fixed,fixed,,0.03,7/26/2019,236.1111111,,non-performing,213,Not in MARP,,,8/30/2019
,ZLP27567,Web,11/27/2013,Ireland,,Mortage,Loan,Linear,4/28/2045,4/27/2050,EUR,200000,196000,1000,197000,,fixed,fixed,,0.03,7/26/2019,555.5555556,,non-performing,180,ARA,,,8/30/2019
,ZLP27568,Broker,11/28/2013,Ireland,,Mortage,Loan,Linear,4/29/2045,4/27/2053,EUR,150000,142500,25.5,142525.5,,fixed,fixed,,0.03,7/26/2019,416.6666667,,non-performing,90,ARA,,,8/30/2019
,ZLP27569,Branch,11/29/2013,Ireland,,Mortage,Loan,Linear,4/30/2045,5/5/2045,EUR,136000,122400,680,123080,,fixed,fixed,,0.03,7/26/2019,377.7777778,,non-performing,91,ARA,,,8/30/2019
,ZLP27570,Web,11/30/2013,Ireland,,Mortage,Loan,Linear,5/1/2045,5/6/2045,EUR,132714.2857,130060,663.5714286,130723.5714,,fixed,fixed,,0.03,7/26/2019,368.6507937,,non-performing,95,Not in MARP,,,8/30/2019
,ZLP27571,Broker,12/1/2013,Ireland,,Mortage,Loan,Linear,5/2/2045,5/7/2045,EUR,129428.5714,122957.1429,323.5714286,123280.7143,,fixed,fixed,,0.03,7/26/2019,359.5238095,,non-performing,97,Not in MARP,,,8/30/2019
,ZLP27572,Branch,12/2/2013,Ireland,,Mortage,Loan,Linear,5/3/2045,5/8/2045,EUR,126142.8571,119835.7143,340.5857143,120176.3,,fixed,fixed,,0.03,7/26/2019,350.3968254,,non-performing,93,Not in MARP,,,8/30/2019
,ZLP27573,Branch,12/3/2013,Ireland,,Mortage,Loan,Linear,5/4/2045,5/9/2045,EUR,122857.1429,122881.7143,710.1142857,123591.8286,,fixed,fixed,,0.03,7/26/2019,341.2698413,,non-performing,213,Not in MARP,,,8/30/2019
,ZLP27574,Web,12/4/2013,Ireland,,Mortage,Loan,Linear,5/5/2045,5/10/2045,EUR,119571.4286,113592.8571,597.8571429,114190.7143,,mixed,fixed,,0.03,7/26/2019,332.1428571,,non-performing,290,Not in MARP,5 years fixed then variable,,8/30/2019
,ZLP27575,Broker,12/5/2013,Ireland,,Mortage,Loan,Linear,5/6/2045,5/5/2051,EUR,116285.7143,104657.1429,313.9714286,104971.1143,,variable,fixed,LIBOR,0.03,7/26/2019,323.015873,,non-performing,90,Not in MARP,,LIBOR,8/30/2019
,ZLP27576,Branch,12/6/2013,Ireland,,Mortage,Loan,Linear,5/7/2045,5/6/2050,EUR,200000,196000,1156,197156,,fixed,fixed,,0.03,7/26/2019,555.5555556,,non-performing,91,Not in MARP,,,8/30/2019
,ZLP27577,Web,12/7/2013,Ireland,,Mortage,Loan,Linear,5/8/2045,5/7/2050,EUR,150000,142500,750,143250,,fixed,fixed,,0.03,7/26/2019,416.6666667,,non-performing,95,Not in MARP,,,8/30/2019
,ZLP27578,Broker,12/8/2013,Ireland,,Mortage,Loan,Linear,5/9/2045,5/8/2050,EUR,100000,95000,17,95017,,mixed,fixed,,0.03,7/23/2019,277.7777778,,non-performing,97,Not in MARP,5 years fixed then variable,,8/30/2019
,ZLP27579,Branch,12/9/2013,Ireland,,Mortage,Loan,Linear,5/10/2045,5/9/2050,EUR,85000,80750,14.45,80764.45,,fixed,fixed,,0.03,7/26/2019,236.1111111,,non-performing,93,Not in MARP,,,8/30/2019
,ZLP27580,Branch,12/10/2013,Ireland,,Mortage,Loan,Linear,5/11/2045,5/10/2050,EUR,200000,190000,34,190034,,fixed,fixed,,0.03,7/26/2019,555.5555556,,non-performing,185,Not in MARP,,,8/30/2019
,ZLP27581,Web,12/11/2013,Ireland,,Mortage,Loan,Linear,5/12/2045,5/10/2053,EUR,150000,135000,375,135375,,fixed,fixed,,0.03,7/26/2019,416.6666667,,non-performing,90,Not in MARP,,,8/30/2019
,ZLP27582,Broker,12/12/2013,Ireland,,Mortage,Loan,Linear,5/13/2045,5/18/2045,EUR,136000,133280,367.2,133647.2,,fixed,fixed,,0.03,7/26/2019,377.7777778,,non-performing,91,Not in MARP,,,8/30/2019
,ZLP27583,Branch,12/13/2013,Ireland,,Mortage,Loan,Linear,5/14/2045,5/19/2045,EUR,132714.2857,126078.5714,767.0885714,126845.66,,fixed,fixed,,0.03,7/26/2019,368.6507937,,non-performing,95,Not in MARP,,,8/30/2019
,ZLP27584,Web,12/14/2013,Ireland,,Mortage,Loan,Linear,5/15/2045,5/20/2045,EUR,129428.5714,116485.7143,647.1428571,117132.8571,,fixed,fixed,,0.03,7/26/2019,359.5238095,,non-performing,97,ARA,,,8/30/2019
,ZLP27585,Broker,12/15/2013,Ireland,,Mortage,Loan,Linear,5/16/2045,5/21/2045,EUR,126142.8571,123620,21.44428571,123641.4443,,mixed,fixed,,0.03,7/26/2019,350.3968254,,non-performing,93,Exited MARP,5 years fixed then variable,,8/30/2019
,ZLP27586,Branch,12/16/2013,Ireland,,Mortage,Loan,Linear,5/17/2045,5/22/2045,EUR,122857.1429,116714.2857,614.2857143,117328.5714,,fixed,fixed,,0.03,7/26/2019,341.2698413,,non-performing,90,Not in MARP,,,8/30/2019
,ZLP27587,Branch,12/17/2013,Ireland,,Mortage,Loan,Linear,5/18/2045,5/23/2045,EUR,119571.4286,113592.8571,597.8571429,114190.7143,,fixed,fixed,,0.03,7/26/2019,0,,non-performing,92,ARA,,,8/30/2019
,ZLP27588,Web,12/18/2013,Ireland,,Mortage,Loan,Linear,5/19/2045,5/18/2051,EUR,116285.7143,116308.9714,290.7142857,116599.6857,,fixed,fixed,,0.03,7/26/2019,323.015873,,non-performing,180,ARA,,,8/30/2019
,ZLP27589,Broker,12/19/2013,Ireland,,Mortage,Loan,Linear,5/20/2045,5/19/2050,EUR,150000,142500,405,142905,,mixed,fixed,,0.03,7/26/2019,416.6666667,,non-performing,170,ARA,5 years fixed then variable,,8/30/2019
,ZLP27590,Branch,12/20/2013,Ireland,,Mortage,Loan,Linear,5/21/2045,5/20/2050,EUR,100000,90000,578,90578,,fixed,fixed,,0.03,7/26/2019,277.7777778,,non-performing,213,Not in MARP,,,8/30/2019
,ZLP27591,Web,12/21/2013,Ireland,,Mortage,Loan,Linear,5/22/2045,5/21/2050,EUR,85000,83300,425,83725,,fixed,fixed,,0.03,7/22/2019,236.1111111,,non-performing,200,Not in MARP,,,8/30/2019
,ZLP27592,Broker,12/22/2013,Ireland,,Mortage,Loan,Linear,5/23/2045,5/22/2050,EUR,200000,190000,540,190540,,fixed,fixed,,0.03,7/31/2019,555.5555556,,non-performing,90,Not in MARP,,,8/30/2019
,ZLP27593,Branch,12/23/2013,Ireland,,Mortage,Loan,Linear,5/24/2045,5/23/2050,EUR,150000,142500,867,143367,,fixed,fixed,,0.03,7/26/2019,416.6666667,,non-performing,91,Not in MARP,,,8/30/2019
,ZLP27594,Branch,12/24/2013,Ireland,,Mortage,Loan,Linear,5/25/2045,5/23/2053,EUR,136000,129200,680,129880,,fixed,fixed,,0.03,7/26/2019,377.7777778,,non-performing,95,Not in MARP,,,8/30/2019
,ZLP27595,Web,12/25/2013,Ireland,,Mortage,Loan,Linear,5/26/2045,5/31/2045,EUR,156333.3333,148516.6667,26.57666667,148543.2433,,fixed,fixed,,0.03,7/26/2019,434.2592593,,non-performing,97,Not in MARP,,,8/30/2019
,ZLP27596,Broker,12/26/2013,Ireland,,Mortage,Loan,Linear,5/27/2045,6/1/2045,EUR,161904.7619,145714.2857,27.52380952,145741.8095,,fixed,fixed,,0.03,7/26/2019,449.7354497,,non-performing,93,Not in MARP,,,8/30/2019
,ZLP27597,Branch,12/27/2013,Ireland,,Mortage,Loan,Linear,5/28/2045,6/2/2045,EUR,167476.1905,164126.6667,28.47095238,164155.1376,,fixed,fixed,,0.03,7/26/2019,465.2116402,,non-performing,213,Not in MARP,,,8/30/2019
,ZLP27598,Web,12/28/2013,Ireland,,Mortage,Loan,Linear,5/29/2045,6/3/2045,EUR,173047.619,164395.2381,432.6190476,164827.8571,,fixed,fixed,,0.03,7/26/2019,480.6878307,,non-performing,187,Not in MARP,,,8/30/2019
,ZLP27599,Broker,12/29/2013,Ireland,,Mortage,Loan,Linear,5/30/2045,6/4/2045,EUR,178619.0476,160757.1429,482.2714286,161239.4143,,fixed,fixed,,0.03,7/26/2019,496.1640212,,non-performing,90,Not in MARP,,,8/30/2019
,ZLP27600,Branch,12/30/2013,Ireland,,Mortage,Loan,Linear,5/31/2045,6/5/2045,EUR,184190.4762,180506.6667,1064.620952,181571.2876,,fixed,fixed,,0.03,7/26/2019,511.6402116,,non-performing,91,Not in MARP,,,8/30/2019
,ZLP27601,Branch,12/31/2013,Ireland,,Mortage,Loan,Linear,6/1/2045,5/31/2051,EUR,189761.9048,180273.8095,948.8095238,181222.619,,fixed,fixed,,0.03,7/26/2019,527.1164021,,non-performing,95,Not in MARP,,,8/30/2019
,ZLP27602,Web,1/1/2014,Ireland,,Mortage,Loan,Linear,6/2/2045,6/1/2050,EUR,195333.3333,185566.6667,33.20666667,185599.8733,,fixed,fixed,,0.03,7/26/2019,542.5925926,,non-performing,97,Not in MARP,,,8/30/2019
,ZLP27603,Broker,1/2/2014,Ireland,,Mortage,Loan,Linear,6/3/2045,6/2/2050,EUR,200000,200040,1000,201040,,mixed,fixed,,0.03,7/26/2019,555.5555556,,non-performing,93,Not in MARP,5 years fixed then variable,,8/30/2019
,ZLP27604,Branch,1/3/2014,Ireland,,Mortage,Loan,Linear,6/4/2045,6/3/2050,EUR,150000,142500,750,143250,,variable,fixed,LIBOR,0.03,7/26/2019,416.6666667,,non-performing,200,ARA,,LIBOR,8/30/2019
,ZLP27605,Web,1/4/2014,Ireland,,Mortage,Loan,Linear,6/5/2045,6/4/2050,EUR,100000,90000,250,90250,,fixed,fixed,,0.03,7/23/2019,277.7777778,,non-performing,90,Exited MARP,,,8/30/2019
