Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
5000,2019-01-02,Moving and relocation,,9.76%,750xx,TX,< 1 year,0
20000,2019-01-02,Credit card refinancing,,23.06%,925xx,CA,< 1 year,0
15000,2019-01-02,Other,595,0%,441xx,OH,5 years,0
31000,2019-01-02,Other,,1.4%,201xx,VA,< 1 year,0
25000,2019-01-02,Credit card refinancing,,46.08%,240xx,VA,< 1 year,0
20000,2019-01-02,Home buying,,31.05%,028xx,RI,< 1 year,0
7000,2019-01-02,Credit card refinancing,,26.58%,980xx,WA,< 1 year,0
10000,2019-01-02,Debt consolidation,,15.57%,288xx,NC,< 1 year,0
5000,2019-01-02,Credit card refinancing,,11.43%,068xx,CT,8 years,0
40000,2019-01-02,Other,,100%,320xx,CA,< 1 year,0
4000,2019-01-02,Debt consolidation,,11.64%,490xx,MI,< 1 year,0
15500,2019-01-02,Other,,1.7%,495xx,MI,< 1 year,0
35000,2019-01-02,Debt consolidation,,42.32%,424xx,KY,< 1 year,0
5000,2019-01-02,Credit card refinancing,,36.21%,453xx,OH,< 1 year,0
40000,2019-01-02,Business,,0.49%,320xx,FL,< 1 year,0
39000,2019-01-02,Other,,11.78%,986xx,WA,< 1 year,0
18000,2019-01-02,Credit card refinancing,,23.81%,359xx,AL,< 1 year,0
5000,2019-01-02,Credit card refinancing,,46.43%,168xx,PA,< 1 year,0
4000,2019-01-02,Car financing,,1.13%,923xx,CA,< 1 year,0
25000,2019-01-02,Debt consolidation,,27.38%,170xx,PA,< 1 year,0
1000,2019-01-02,Other,,13.8%,631xx,MO,5 years,0
7000,2019-01-02,Major purchase,,45.35%,953xx,CA,< 1 year,0
3000,2019-01-02,Debt consolidation,,21.3%,604xx,IL,< 1 year,0
25500,2019-01-02,Other,,22.18%,300xx,GA,n/a,0
10000,2019-01-02,Debt consolidation,,98.1%,180xx,PA,< 1 year,0
30000,2019-01-02,Debt consolidation,,31.32%,339xx,FL,< 1 year,0
14500,2019-01-02,Major purchase,,21.52%,362xx,AL,< 1 year,0
10000,2019-01-02,Debt consolidation,,36.29%,401xx,KY,< 1 year,0
24500,2019-01-02,Debt consolidation,,26.53%,936xx,CA,< 1 year,0
4500,2019-01-02,Debt consolidation,,12.48%,060xx,CT,< 1 year,0
30000,2019-01-02,Debt consolidation,,17.33%,208xx,MD,< 1 year,0
6000,2019-01-02,Other,,16.29%,900xx,CA,< 1 year,0
10000,2019-01-02,Credit card refinancing,,38.63%,799xx,TX,< 1 year,0
5000,2019-01-02,Other,,17.7%,700xx,LA,< 1 year,0
2000,2019-01-02,Medical expenses,,100%,317xx,GA,< 1 year,0
25000,2019-01-02,Credit card refinancing,,23.61%,405xx,KY,< 1 year,0
20000,2019-01-02,Debt consolidation,,14.51%,607xx,IL,< 1 year,0
30000,2019-01-02,Other,,4.78%,870xx,NM,< 1 year,0
35000,2019-01-02,Debt consolidation,,8.57%,021xx,MA,< 1 year,0
6000,2019-01-02,Debt consolidation,,30.27%,958xx,CA,< 1 year,0
100000,2019-01-02,Business Loan,,-1%,973xx,OR,< 1 year,0
1000,2019-01-02,Other,,68.39%,352xx,AL,< 1 year,0
10000,2019-01-02,Debt consolidation,,39.47%,335xx,FL,< 1 year,0
1000,2019-01-02,Other,,4.58%,891xx,NV,3 years,0
40000,2019-01-02,Debt consolidation,,34.74%,371xx,TN,< 1 year,0
25000,2019-01-02,Debt consolidation,,8.04%,103xx,NY,< 1 year,0
20000,2019-01-02,Debt consolidation,,28.04%,365xx,AL,< 1 year,0
10000,2019-01-02,Debt consolidation,,19.3%,482xx,MI,< 1 year,0
20000,2019-01-02,Other,,32.24%,068xx,CT,< 1 year,0
40000,2019-01-02,Debt consolidation,,20.9%,027xx,MA,< 1 year,0
2000,2019-01-02,Other,,12%,975xx,OR,< 1 year,0
36000,2019-01-02,Debt consolidation,,42.29%,992xx,WA,< 1 year,0
24500,2019-01-02,Debt consolidation,,38.53%,483xx,MI,< 1 year,0
20000,2019-01-02,Home improvement,,21.5%,441xx,OH,< 1 year,0
30000,2019-01-02,Major purchase,,2.91%,275xx,NC,< 1 year,0
21000,2019-01-02,Debt consolidation,,33.03%,282xx,NC,< 1 year,0
3000,2019-01-02,Moving and relocation,,41.24%,761xx,TX,< 1 year,0
10500,2019-01-02,Car financing,,1.64%,070xx,NJ,< 1 year,0
1200,2019-01-02,Debt consolidation,,29.2%,613xx,IL,< 1 year,0
23000,2019-01-02,Major purchase,,4.76%,925xx,CA,< 1 year,0
4500,2019-01-02,Credit card refinancing,,3.87%,967xx,HI,< 1 year,0
35000,2019-01-02,Home buying,,10.04%,700xx,LA,< 1 year,0
28500,2019-01-02,Debt consolidation,,36.75%,064xx,CT,< 1 year,0
1000,2019-01-02,Debt consolidation,646,0%,722xx,AR,n/a,0
16000,2019-01-02,Major purchase,,0%,750xx,TX,< 1 year,0
15000,2019-01-02,Debt consolidation,,63.8%,080xx,NJ,< 1 year,0
10000,2019-01-02,Home improvement,,23.71%,321xx,FL,< 1 year,0
25500,2019-01-02,Major purchase,,22.34%,427xx,KY,< 1 year,0
2000,2019-01-02,Other,608,0%,560xx,MN,< 1 year,0
1000,2019-01-02,Other,,100%,917xx,CA,1 year,0
3500,2019-01-02,Medical expenses,,14.79%,477xx,IN,< 1 year,0
30000,2019-01-02,Debt consolidation,,48.79%,056xx,VT,< 1 year,0
15000,2019-01-02,Medical expenses,,32.43%,770xx,TX,< 1 year,0
15000,2019-01-02,Debt consolidation,,24.83%,107xx,NY,< 1 year,0
12500,2019-01-02,Car financing,,1.26%,937xx,CA,< 1 year,0
20000,2019-01-02,Debt consolidation,,21.87%,100xx,NY,< 1 year,0
20000,2019-01-02,Other,,0%,333xx,FL,< 1 year,0
5000,2019-01-02,Home buying,,3.64%,080xx,NJ,< 1 year,0
5000,2019-01-02,Debt consolidation,,37.37%,234xx,VA,< 1 year,0
30000,2019-01-02,Other,,1.39%,112xx,NY,< 1 year,0
1000,2019-01-02,Credit card refinancing,,6.78%,939xx,CA,< 1 year,0
14000,2019-01-02,Debt consolidation,,32.03%,165xx,PA,< 1 year,0
25000,2019-01-02,Credit card refinancing,,12.26%,774xx,TX,< 1 year,0
30000,2019-01-02,Debt consolidation,,23918.18%,946xx,CA,< 1 year,0
5000,2019-01-02,Debt consolidation,,15.63%,384xx,TN,< 1 year,0
1500,2019-01-02,Other,,0.55%,981xx,WA,< 1 year,0
20000,2019-01-02,Credit card refinancing,,35.97%,810xx,CO,< 1 year,0
12000,2019-01-02,Credit card refinancing,,100%,800xx,CO,< 1 year,0
25000,2019-01-02,Credit card refinancing,,23.24%,285xx,NC,< 1 year,0
5000,2019-01-02,Other,,16.18%,016xx,MA,< 1 year,0
10000,2019-01-02,Car financing,,3%,356xx,AL,< 1 year,0
2900,2019-01-02,Credit card refinancing,,25.64%,140xx,NY,n/a,0
5000,2019-01-02,Debt consolidation,,26.69%,320xx,FL,< 1 year,0
19000,2019-01-02,Debt consolidation,,27.98%,750xx,TX,< 1 year,0
1000,2019-01-02,Debt consolidation,,109.76%,388xx,MS,1 year,0
5000,2019-01-02,Credit card refinancing,,18.74%,305xx,GA,< 1 year,0
1000,2019-01-02,Other,,0%,940xx,CA,5 years,0
40000,2019-01-02,Debt consolidation,,34.36%,617xx,IL,< 1 year,0
10000,2019-01-02,Debt consolidation,695,100%,539xx,WI,< 1 year,0
4500,2019-01-02,Debt consolidation,,18.59%,606xx,IL,< 1 year,0
5000,2019-01-02,Debt consolidation,,30.88%,633xx,MO,< 1 year,0
3000,2019-01-02,Debt consolidation,,6.18%,210xx,MD,< 1 year,0
10000,2019-01-02,Debt consolidation,,44.17%,856xx,AZ,< 1 year,0
30000,2019-01-02,Debt consolidation,,36.18%,601xx,IL,< 1 year,0
30000,2019-01-02,Debt consolidation,,13.56%,342xx,FL,< 1 year,0
30000,2019-01-02,Debt consolidation,,25.85%,060xx,CT,< 1 year,0
5000,2019-01-02,Debt consolidation,,32.88%,935xx,CA,< 1 year,0
3500,2019-01-02,Medical expenses,,100%,317xx,GA,< 1 year,0
1000,2019-01-02,Other,,19.4%,958xx,CA,1 year,0
12500,2019-01-02,Home buying,,12.28%,132xx,NY,< 1 year,0
2000,2019-01-02,Other,,1.58%,670xx,KS,< 1 year,0
1000,2019-01-02,Debt consolidation,,3.17%,191xx,PA,3 years,0
8000,2019-01-02,Debt consolidation,,19.22%,128xx,NY,< 1 year,0
3200,2019-01-02,Other,,18.75%,178xx,PA,< 1 year,0
8000,2019-01-02,Debt consolidation,,18.42%,779xx,TX,< 1 year,0
10000,2019-01-02,Credit card refinancing,,10.06%,330xx,FL,< 1 year,0
5000,2019-01-02,Credit card refinancing,,10.16%,076xx,NJ,< 1 year,0
38000,2019-01-02,Debt consolidation,,29.92%,685xx,NE,< 1 year,0
40000,2019-01-02,Credit card refinancing,,18.13%,967xx,HI,< 1 year,0
15000,2019-01-02,Debt consolidation,,16.78%,178xx,PA,< 1 year,0
3000,2019-01-02,Debt consolidation,,20.73%,331xx,FL,1 year,0
10000,2019-01-02,Debt consolidation,,33.7%,130xx,NY,< 1 year,0
10000,2019-01-02,Home improvement,,17.76%,481xx,MI,< 1 year,0
15000,2019-01-02,Debt consolidation,,100%,604xx,IL,< 1 year,0
2000,2019-01-02,Vacation,,1.75%,953xx,CA,< 1 year,0
20000,2019-01-02,Debt consolidation,,42.43%,660xx,KS,< 1 year,0
10000,2019-01-02,Debt consolidation,,25.83%,775xx,TX,< 1 year,0
20000,2019-01-02,Debt consolidation,,58.74%,785xx,TX,< 1 year,0
4000,2019-01-02,Debt consolidation,,21.43%,326xx,FL,< 1 year,0
16000,2019-01-02,Other,749,0%,820xx,WY,< 1 year,0
14000,2019-01-02,Debt consolidation,,41.13%,782xx,TX,< 1 year,0
25000,2019-01-02,Debt consolidation,,15.26%,770xx,TX,< 1 year,0
20000,2019-01-02,Debt consolidation,,43.31%,441xx,OH,< 1 year,0
1600,2019-01-02,Debt consolidation,,5.38%,742xx,TX,< 1 year,0
3500,2019-01-02,Home buying,,10.63%,532xx,WI,< 1 year,0
15000,2019-01-02,Other,,38.81%,750xx,TX,< 1 year,0
19300,2019-01-02,Car financing,,8.85%,996xx,AK,< 1 year,0
8000,2019-01-02,Debt consolidation,,27.16%,765xx,TX,< 1 year,0
40000,2019-01-02,Debt consolidation,,100%,601xx,IL,< 1 year,0
10000,2019-01-02,Debt consolidation,,36.16%,921xx,CA,< 1 year,0
4000,2019-01-02,Debt consolidation,,11.87%,067xx,CT,< 1 year,0
8000,2019-01-02,Other,,13.51%,604xx,IL,< 1 year,0
12000,2019-01-02,Credit card refinancing,,14.48%,890xx,NV,< 1 year,0
30000,2019-01-02,Home buying,,11.93%,361xx,AL,< 1 year,0
14625,2019-01-02,Car financing,,100%,410xx,KY,< 1 year,0
6000,2019-01-02,Other,,100%,774xx,TX,< 1 year,0
1500,2019-01-02,Other,,10.96%,726xx,AR,< 1 year,0
15000,2019-01-02,Major purchase,,15.53%,388xx,MS,< 1 year,0
20000,2019-01-02,Debt consolidation,,12.29%,955xx,CA,< 1 year,0
10000,2019-01-02,Debt consolidation,,11.36%,953xx,CA,< 1 year,0
10000,2019-01-02,Debt consolidation,,66.82%,917xx,CA,< 1 year,0
35000,2019-01-02,Debt consolidation,,52.26%,301xx,GA,< 1 year,0
5000,2019-01-02,Debt consolidation,,12.62%,300xx,GA,< 1 year,0
3200,2019-01-02,Debt consolidation,,18.24%,853xx,AZ,< 1 year,0
5000,2019-01-02,Other,,2.56%,338xx,FL,< 1 year,0
30000,2019-01-02,Debt consolidation,,28.59%,234xx,VA,< 1 year,0
20000,2019-01-02,Car financing,,43.89%,731xx,OK,< 1 year,0
35000,2019-01-02,Debt consolidation,,9.4%,615xx,IL,< 1 year,0
40000,2019-01-02,Debt consolidation,,16.17%,173xx,PA,< 1 year,0
10000,2019-01-02,Credit card refinancing,,20.24%,191xx,PA,< 1 year,0
10000,2019-01-02,Credit card refinancing,,5.46%,928xx,CA,< 1 year,0
20000,2019-01-02,Debt consolidation,688,100%,142xx,NY,< 1 year,0
10000,2019-01-02,Debt consolidation,,4.17%,082xx,NJ,< 1 year,0
5000,2019-01-02,Vacation,,13.63%,959xx,CA,< 1 year,0
20000,2019-01-02,Debt consolidation,,27.91%,347xx,FL,< 1 year,0
35000,2019-01-02,Credit card refinancing,,5.38%,100xx,NY,< 1 year,0
22000,2019-01-02,Debt consolidation,,9.04%,633xx,MO,< 1 year,0
15000,2019-01-02,Credit card refinancing,,15.8%,631xx,MO,< 1 year,0
1500,2019-01-02,Major purchase,,41.05%,331xx,FL,< 1 year,0
10000,2019-01-02,Debt consolidation,,19.36%,300xx,GA,< 1 year,0
8000,2019-01-02,Other,,100%,282xx,NC,< 1 year,0
40000,2019-01-02,Credit card refinancing,,47.26%,773xx,TX,< 1 year,0
1000,2019-01-02,Debt consolidation,,39.21%,601xx,IL,< 1 year,0
3000,2019-01-02,Home buying,,0.49%,306xx,GA,< 1 year,0
24200,2019-01-02,Car financing,,100%,208xx,MD,< 1 year,0
15000,2019-01-02,Business Loan,,-1%,112xx,NY,< 1 year,0
9000,2019-01-02,Debt consolidation,,2.73%,532xx,WI,< 1 year,0
30000,2019-01-02,Home buying,,14.54%,337xx,FL,< 1 year,0
3000,2019-01-02,Debt consolidation,,22.76%,424xx,KY,< 1 year,0
20000,2019-01-02,Major purchase,,758.2%,287xx,NC,< 1 year,0
15000,2019-01-02,Debt consolidation,,37.2%,315xx,GA,< 1 year,0
7000,2019-01-02,Debt consolidation,,36.84%,294xx,SC,< 1 year,0
5000,2019-01-02,Debt consolidation,,42.79%,620xx,IL,< 1 year,0
40000,2019-01-02,Debt consolidation,,27.47%,249xx,WV,< 1 year,0
20000,2019-01-02,Credit card refinancing,,250%,083xx,NJ,< 1 year,0
5000,2019-01-02,Debt consolidation,,6.68%,211xx,MD,< 1 year,0
25000,2019-01-02,Credit card refinancing,,49.84%,100xx,NY,< 1 year,0
1000,2019-01-02,Other,,70.53%,782xx,TX,n/a,0
7000,2019-01-02,Other,,32.74%,750xx,TX,< 1 year,0
30500,2019-01-02,Other,,25.38%,321xx,FL,< 1 year,0
2000,2019-01-02,Car financing,,0%,853xx,AZ,< 1 year,0
30000,2019-01-02,Home buying,,15.59%,900xx,CA,< 1 year,0
35500,2019-01-02,Debt consolidation,,26.39%,189xx,PA,< 1 year,0
20000,2019-01-02,Debt consolidation,,23.73%,117xx,NY,< 1 year,0
20000,2019-01-02,Major purchase,,9.88%,750xx,TX,< 1 year,0
17275,2019-01-02,Car financing,,100%,028xx,RI,< 1 year,0
40000,2019-01-02,Other,,23.8%,389xx,MS,< 1 year,0
15950,2019-01-02,Car financing,,100%,352xx,AL,< 1 year,0
30000,2019-01-02,Home buying,,25.03%,751xx,TX,< 1 year,0
10000,2019-01-02,Credit card refinancing,,21.32%,656xx,MO,< 1 year,0
40000,2019-01-02,Debt consolidation,,25.49%,173xx,PA,< 1 year,0
15000,2019-01-02,Debt consolidation,,19.78%,334xx,FL,< 1 year,0
4500,2019-01-02,Credit card refinancing,,65.03%,752xx,TX,< 1 year,0
40000,2019-01-02,Home buying,,32.7%,300xx,GA,< 1 year,0
10000,2019-01-02,Credit card refinancing,,8.88%,720xx,AR,< 1 year,0
10000,2019-01-02,Debt consolidation,,29.71%,372xx,TN,< 1 year,0
15000,2019-01-02,Debt consolidation,,27.71%,762xx,TX,< 1 year,0
9000,2019-01-02,Other,,9.91%,301xx,GA,< 1 year,0
5000,2019-01-02,Other,621,100%,900xx,CA,< 1 year,0
35500,2019-01-02,Credit card refinancing,,42.41%,953xx,CA,< 1 year,0
12500,2019-01-02,Debt consolidation,,30.81%,133xx,NY,n/a,0
12500,2019-01-02,Debt consolidation,,18.77%,954xx,CA,< 1 year,0
30000,2019-01-02,Debt consolidation,,8.82%,481xx,MI,< 1 year,0
30000,2019-01-02,Debt consolidation,,21.95%,802xx,CO,< 1 year,0
10000,2019-01-02,Credit card refinancing,,4.5%,900xx,CA,< 1 year,0
12000,2019-01-02,Credit card refinancing,,117.26%,229xx,VA,< 1 year,0
2000,2019-01-02,Car financing,,197.59%,447xx,OH,< 1 year,0
2000,2019-01-02,Debt consolidation,,18.9%,431xx,OH,< 1 year,0
6000,2019-01-02,Other,,21.15%,937xx,CA,< 1 year,0
10000,2019-01-02,Home buying,,13.29%,776xx,TX,< 1 year,0
35000,2019-01-02,Debt consolidation,,21.94%,021xx,MA,1 year,0
6000,2019-01-02,Credit card refinancing,,24.73%,631xx,MO,< 1 year,0
1000,2019-01-02,Other,,3.84%,381xx,TN,3 years,0
14000,2019-01-02,Other,831,100%,546xx,WI,9 years,0
25000,2019-01-02,Debt consolidation,,29.79%,452xx,OH,< 1 year,0
2000,2019-01-02,Debt consolidation,,12.81%,336xx,FL,< 1 year,0
10000,2019-01-02,Debt consolidation,,2.56%,554xx,MN,< 1 year,0
20000,2019-01-02,Debt consolidation,,29.58%,211xx,MD,< 1 year,0
15000,2019-01-02,Debt consolidation,,49.29%,794xx,TX,< 1 year,0
3000,2019-01-02,Credit card refinancing,,5.61%,166xx,PA,< 1 year,0
10000,2019-01-02,Other,,92.07%,775xx,TX,< 1 year,0
30000,2019-01-02,Major purchase,,22.32%,410xx,KY,< 1 year,0
10000,2019-01-02,Major purchase,,18.11%,765xx,TX,< 1 year,0
3000,2019-01-02,Credit card refinancing,,52.96%,836xx,ID,< 1 year,0
20000,2019-01-02,Other,,5.3%,917xx,CA,< 1 year,0
10000,2019-01-02,Debt consolidation,,22.42%,223xx,VA,< 1 year,0
10500,2019-01-02,Major purchase,,5.28%,605xx,IL,< 1 year,0
2000,2019-01-02,Home buying,,0%,306xx,GA,< 1 year,0
13500,2019-01-02,Debt consolidation,,19.2%,638xx,MO,< 1 year,0
40000,2019-01-02,Debt consolidation,712,28.56%,750xx,TX,< 1 year,0
5000,2019-01-02,Home buying,,40.59%,967xx,HI,< 1 year,0
13000,2019-01-02,Debt consolidation,,47.38%,967xx,HI,< 1 year,0
1250,2019-01-02,Other,,14.62%,531xx,WI,8 years,0
12000,2019-01-02,Debt consolidation,,103.53%,378xx,TN,n/a,0
10000,2019-01-02,Vacation,,15.96%,112xx,NY,< 1 year,0
12000,2019-01-02,Debt consolidation,,25.33%,774xx,TX,< 1 year,0
1700,2019-01-02,Car financing,,11.73%,983xx,WA,< 1 year,0
35000,2019-01-02,Debt consolidation,,31.52%,939xx,CA,< 1 year,0
5000,2019-01-02,Debt consolidation,,6.64%,920xx,CA,< 1 year,0
3000,2019-01-02,Other,,100%,368xx,AL,< 1 year,0
3000,2019-01-02,Credit card refinancing,,3.73%,300xx,GA,< 1 year,0
5000,2019-01-02,Other,,15.27%,190xx,PA,< 1 year,0
25000,2019-01-02,Credit card refinancing,,51.16%,853xx,AZ,< 1 year,0
5000,2019-01-02,Car financing,663,100%,980xx,WA,< 1 year,0
6000,2019-01-02,Debt consolidation,,16.04%,676xx,KS,< 1 year,0
10000,2019-01-02,Debt consolidation,,21.58%,961xx,CA,< 1 year,0
35000,2019-01-02,Debt consolidation,,23.09%,104xx,NY,< 1 year,0
5000,2019-01-02,Moving and relocation,,8.81%,917xx,CA,< 1 year,0
26500,2019-01-02,Credit card refinancing,,24.77%,750xx,TX,< 1 year,0
40000,2019-01-02,Major purchase,,18.04%,381xx,TN,< 1 year,0
10000,2019-01-02,Other,,36.68%,809xx,CO,< 1 year,0
10000,2019-01-02,Debt consolidation,,66.14%,773xx,TX,< 1 year,0
1000,2019-01-02,Vacation,566,3.87%,297xx,SC,3 years,0
6500,2019-01-02,Credit card refinancing,,11.71%,550xx,MN,< 1 year,0
40000,2019-01-02,Debt consolidation,691,18.96%,200xx,DC,< 1 year,0
30000,2019-01-02,Credit card refinancing,,23.59%,233xx,VA,n/a,0
40000,2019-01-02,Other,,1.34%,111xx,NY,< 1 year,0
10000,2019-01-02,Credit card refinancing,,456.31%,272xx,NC,< 1 year,0
10200,2019-01-02,Credit card refinancing,,17.69%,156xx,PA,< 1 year,0
30000,2019-01-02,Home improvement,,16.41%,993xx,WA,< 1 year,0
15000,2019-01-02,Credit card refinancing,,41.34%,411xx,KY,< 1 year,0
6000,2019-01-02,Other,,7.42%,346xx,FL,n/a,0
10000,2019-01-02,Other,,57.28%,012xx,MA,< 1 year,0
3500,2019-01-02,Other,,0%,031xx,NH,< 1 year,0
1000,2019-01-02,Debt consolidation,,17.04%,634xx,MO,< 1 year,0
10000,2019-01-02,Credit card refinancing,,4.75%,711xx,LA,< 1 year,0
4000,2019-01-02,Credit card refinancing,,25.1%,560xx,MN,n/a,0
3000,2019-01-02,Other,,19.17%,301xx,GA,< 1 year,0
35000,2019-01-02,Major purchase,,21.82%,787xx,TX,< 1 year,0
20000,2019-01-02,Other,,77.13%,363xx,AL,< 1 year,0
30500,2019-01-02,Debt consolidation,,40.97%,898xx,NV,< 1 year,0
20000,2019-01-02,Debt consolidation,,25.66%,328xx,FL,< 1 year,0
5000,2019-01-02,Moving and relocation,,100%,983xx,WA,< 1 year,0
40000,2019-01-02,Credit card refinancing,,56.63%,791xx,TX,< 1 year,0
6000,2019-01-02,Car financing,,5.19%,900xx,CA,< 1 year,0
10000,2019-01-02,Home buying,,23.5%,070xx,NJ,< 1 year,0
40000,2019-01-02,Debt consolidation,,32.66%,945xx,CA,< 1 year,0
25000,2019-01-02,Credit card refinancing,,27.77%,112xx,NY,< 1 year,0
10000,2019-01-02,Other,,3.19%,372xx,TN,< 1 year,0
10000,2019-01-02,Credit card refinancing,,20.86%,920xx,CA,< 1 year,0
25000,2019-01-02,Home buying,564,22.06%,297xx,SC,< 1 year,0
12000,2019-01-02,Debt consolidation,,43.55%,305xx,GA,< 1 year,0
20000,2019-01-02,Moving and relocation,,5.82%,951xx,CA,< 1 year,0
10000,2019-01-02,Moving and relocation,,35.59%,809xx,CO,< 1 year,0
3000,2019-01-02,Other,,12.83%,787xx,TX,< 1 year,0
1000,2019-01-02,Other,,18.91%,982xx,WA,2 years,0
7000,2019-01-02,Debt consolidation,,33.7%,224xx,VA,< 1 year,0
5000,2019-01-02,Moving and relocation,,9.7%,301xx,GA,< 1 year,0
25000,2019-01-02,Home buying,,8.6%,936xx,CA,< 1 year,0
5000,2019-01-02,Home improvement,,29.25%,325xx,FL,< 1 year,0
3000,2019-01-02,Home buying,,33.68%,294xx,SC,< 1 year,0
40000,2019-01-02,Debt consolidation,,45.41%,582xx,ND,< 1 year,0
2500,2019-01-02,Car financing,,6.87%,974xx,OR,n/a,0
15000,2019-01-02,Credit card refinancing,,11.12%,109xx,NY,< 1 year,0
30000,2019-01-02,Debt consolidation,,40.12%,801xx,CO,< 1 year,0
1000,2019-01-02,Other,,12.93%,553xx,MN,5 years,0
10500,2019-01-02,Credit card refinancing,,29.19%,730xx,OK,< 1 year,0
10000,2019-01-02,Debt consolidation,,21.7%,272xx,NC,< 1 year,0
1500,2019-01-02,Other,,100%,493xx,MI,< 1 year,0
1000,2019-01-02,Other,,100%,616xx,IL,< 1 year,0
1000,2019-01-02,Moving and relocation,,7.56%,281xx,NC,< 1 year,0
10000,2019-01-02,Other,,5.56%,981xx,WA,< 1 year,0
10500,2019-01-02,Debt consolidation,,22.62%,293xx,SC,< 1 year,0
10000,2019-01-02,Credit card refinancing,,33.83%,431xx,OH,< 1 year,0
4000,2019-01-02,Other,,160.94%,019xx,MA,< 1 year,0
17000,2019-01-02,Debt consolidation,,20.85%,826xx,WY,< 1 year,0
2500,2019-01-02,Debt consolidation,,23.18%,986xx,WA,< 1 year,0
2100,2019-01-02,Vacation,,36.49%,765xx,TX,< 1 year,0
2500,2019-01-02,Other,,4.37%,761xx,TX,< 1 year,0
25000,2019-01-02,Debt consolidation,,135.48%,850xx,AZ,< 1 year,0
2000,2019-01-02,Debt consolidation,,36.1%,104xx,NY,< 1 year,0
5500,2019-01-02,Debt consolidation,,31.04%,176xx,PA,< 1 year,0
5000,2019-01-02,Home improvement,,3.69%,080xx,NJ,< 1 year,0
9000,2019-01-02,Home improvement,,100%,952xx,CA,< 1 year,0
16000,2019-01-02,Credit card refinancing,,86.96%,393xx,MS,< 1 year,0
20000,2019-01-02,Credit card refinancing,,31.02%,986xx,WA,< 1 year,0
20000,2019-01-02,Debt consolidation,,31.23%,774xx,TX,< 1 year,0
10000,2019-01-02,Debt consolidation,,44.48%,075xx,NJ,< 1 year,0
4000,2019-01-02,Credit card refinancing,,18.4%,625xx,IL,< 1 year,0
2500,2019-01-02,Car financing,,0%,232xx,VA,< 1 year,0
10000,2019-01-02,Other,,0%,359xx,AL,< 1 year,0
15000,2019-01-02,Major purchase,,1.34%,752xx,TX,< 1 year,0
25000,2019-01-02,Business Loan,,-1%,219xx,MD,< 1 year,0
6500,2019-01-02,Debt consolidation,,31.55%,302xx,GA,< 1 year,0
10000,2019-01-02,Credit card refinancing,,8.54%,928xx,CA,< 1 year,0
10000,2019-01-02,Debt consolidation,,19.87%,606xx,IL,< 1 year,0
1000,2019-01-02,Major purchase,,0.36%,571xx,SD,< 1 year,0
5500,2019-01-02,Credit card refinancing,,16.49%,148xx,NY,< 1 year,0
3000,2019-01-02,Credit card refinancing,,8.93%,774xx,TX,< 1 year,0
5000,2019-01-02,Credit card refinancing,,14.75%,785xx,TX,< 1 year,0
10000,2019-01-02,Other,,11.93%,443xx,OH,< 1 year,0
1500,2019-01-02,Car financing,,5.2%,542xx,WI,< 1 year,0
40000,2019-01-02,Home buying,,1.05%,410xx,KY,< 1 year,0
5000,2019-01-02,Debt consolidation,560,0.38%,604xx,IL,< 1 year,0
1000,2019-01-02,Other,,15.67%,370xx,TN,1 year,0
12000,2019-01-02,Other,,21.91%,247xx,WV,< 1 year,0
9000,2019-01-02,Credit card refinancing,,1.62%,190xx,PA,< 1 year,0
5000,2019-01-02,Debt consolidation,,37.71%,751xx,TX,< 1 year,0
5000,2019-01-02,Moving and relocation,,43.91%,983xx,CA,< 1 year,0
2000,2019-01-02,Debt consolidation,,29.38%,060xx,CT,< 1 year,0
10000,2019-01-02,Debt consolidation,,32.56%,594xx,MT,< 1 year,0
2000,2019-01-02,Debt consolidation,,1.44%,183xx,PA,< 1 year,0
13000,2019-01-02,Debt consolidation,,40.48%,142xx,NY,< 1 year,0
10000,2019-01-02,Other,,12.37%,606xx,IL,< 1 year,0
1500,2019-01-02,Other,,12.53%,066xx,CT,< 1 year,0
7500,2019-01-02,Other,,0%,112xx,NY,n/a,0
5000,2019-01-02,Debt consolidation,,100%,765xx,TX,< 1 year,0
15500,2019-01-02,Debt consolidation,,45.09%,610xx,IL,< 1 year,0
1000,2019-01-02,Credit card refinancing,,25.35%,339xx,FL,< 1 year,0
1000,2019-01-02,Other,608,6.56%,300xx,GA,< 1 year,0
6000,2019-01-02,Credit card refinancing,,22.66%,189xx,PA,< 1 year,0
2500,2019-01-02,Debt consolidation,,27.73%,700xx,LA,< 1 year,0
20000,2019-01-02,Medical expenses,,100%,494xx,MI,< 1 year,0
40000,2019-01-02,Debt consolidation,,18.36%,786xx,TX,< 1 year,0
16500,2019-01-02,Debt consolidation,,32.65%,366xx,AL,< 1 year,0
5000,2019-01-02,Other,,0.33%,339xx,FL,1 year,0
40000,2019-01-02,Home buying,,9.32%,021xx,MA,< 1 year,0
15000,2019-01-02,Other,,101.28%,700xx,LA,< 1 year,0
35000,2019-01-02,Debt consolidation,630,100%,214xx,MD,< 1 year,0
3000,2019-01-02,Credit card refinancing,,4.85%,064xx,CT,< 1 year,0
7000,2019-01-02,Credit card refinancing,,23.53%,891xx,NV,< 1 year,0
40000,2019-01-02,Other,,59.85%,339xx,FL,< 1 year,0
